experiment_id,robots,random_seed,simulation_duration,simulated_time,task_interval,tasks_generated,completed_tasks,completed_by_horizon,waiting_tasks,throughput,distance,wait_steps,idle_steps,plans_created,average_queue_time,average_cycle_time,drain_time
R1_S1_I10,1,1,600,1723,10,63,63,22,0,2.2,1723,0,0,127,558.57,585.92,1123
R1_S2_I10,1,2,600,1799,10,63,63,21,0,2.1,1799,0,0,127,602.38,630.94,1199
R1_S3_I10,1,3,600,1771,10,63,63,21,0,2.1,1771,0,0,127,581.11,609.22,1171
R1_S4_I10,1,4,600,1715,10,63,63,21,0,2.1,1715,0,0,127,567.97,595.19,1115
R1_S5_I10,1,5,600,1759,10,63,63,21,0,2.1,1759,0,0,127,575.84,603.76,1159
R2_S1_I10,2,1,600,888,10,63,63,41,0,4.1,1776,0,0,254,147.98,176.16,288
R2_S2_I10,2,2,600,929,10,63,63,40,0,4.0,1858,0,0,254,162.41,191.63,329
R2_S3_I10,2,3,600,916,10,63,63,41,0,4.1,1830,0,2,254,160.11,188.86,316
R2_S4_I10,2,4,600,885,10,63,63,41,0,4.1,1769,0,1,254,147.35,175.24,285
R2_S5_I10,2,5,600,911,10,63,63,41,0,4.1,1811,0,11,254,157.29,185.84,311
R3_S1_I10,3,1,600,617,10,63,63,60,0,6.0,1842,0,9,396,7.27,35.9,17
R3_S2_I10,3,2,600,626,10,63,63,60,0,6.0,1878,0,0,366,10.63,40.0,26
R3_S3_I10,3,3,600,625,10,63,63,60,0,6.0,1874,0,1,367,15.33,44.57,25
R3_S4_I10,3,4,600,620,10,63,63,61,0,6.1,1818,0,42,423,5.7,33.7,20
R3_S5_I10,3,5,600,624,10,63,63,61,0,6.1,1860,0,12,385,13.78,42.6,24
R4_S1_I10,4,1,600,616,10,63,63,61,0,6.1,1984,3,477,586,1.16,26.38,16
R4_S2_I10,4,2,600,616,10,63,63,61,0,6.1,2058,4,402,638,1.13,27.75,16
R4_S3_I10,4,3,600,633,10,63,63,62,0,6.2,2016,1,515,618,1.16,27.81,33
R4_S4_I10,4,4,600,620,10,63,63,61,0,6.1,1939,1,539,604,1.13,26.59,20
R4_S5_I10,4,5,600,617,10,63,63,60,0,6.0,1983,2,483,640,1.17,28.19,17
R5_S1_I10,5,1,600,611,10,63,63,61,0,6.1,1954,0,1101,595,0.94,24.71,11
R5_S2_I10,5,2,600,615,10,63,63,61,0,6.1,1924,1,1150,564,0.94,25.32,15
R5_S3_I10,5,3,600,617,10,63,63,62,0,6.2,1858,1,1226,534,0.94,24.73,17
R5_S4_I10,5,4,600,611,10,63,63,61,0,6.1,1845,1,1209,538,0.94,24.6,11
R5_S5_I10,5,5,600,618,10,63,63,61,0,6.1,1982,1,1107,601,0.94,25.54,18
R6_S1_I10,6,1,600,614,10,63,63,61,0,6.1,1859,0,1825,553,0.94,24.19,14
R6_S2_I10,6,2,600,609,10,63,63,61,0,6.1,1932,1,1721,575,0.94,25.32,9
R6_S3_I10,6,3,600,616,10,63,63,61,0,6.1,1856,2,1838,532,0.94,25.08,16
R6_S4_I10,6,4,600,611,10,63,63,61,0,6.1,1855,1,1810,519,0.94,23.79,11
R6_S5_I10,6,5,600,618,10,63,63,61,0,6.1,1944,1,1763,579,0.94,25.4,18
R1_S1_I15,1,1,600,1167,15,43,43,22,0,2.2,1167,0,0,87,291.12,318.26,567
R1_S2_I15,1,2,600,1227,15,43,43,21,0,2.1,1227,0,0,87,322.56,351.09,627
R1_S3_I15,1,3,600,1195,15,43,43,21,0,2.1,1195,0,0,87,308.33,336.12,595
R1_S4_I15,1,4,600,1187,15,43,43,21,0,2.1,1187,0,0,87,303.4,331.0,587
R1_S5_I15,1,5,600,1191,15,43,43,21,0,2.1,1191,0,0,87,304.7,332.4,591
R2_S1_I15,2,1,600,615,15,43,43,41,0,4.1,1230,0,0,180,15.98,44.33,15
R2_S2_I15,2,2,600,640,15,43,43,40,0,4.0,1266,0,14,174,24.49,53.67,40
R2_S3_I15,2,3,600,628,15,43,43,41,0,4.1,1254,0,2,174,26.81,55.53,28
R2_S4_I15,2,4,600,618,15,43,43,41,0,4.1,1236,0,0,178,16.0,44.19,18
R2_S5_I15,2,5,600,623,15,43,43,41,0,4.1,1246,0,0,174,23.42,52.14,23
R3_S1_I15,3,1,600,605,15,43,43,41,0,4.1,1327,1,487,279,1.95,27.72,5
R3_S2_I15,3,2,600,628,15,43,43,42,0,4.2,1466,0,418,313,1.95,29.81,28
R3_S3_I15,3,3,600,611,15,43,43,42,0,4.2,1327,1,505,283,1.95,27.28,11
R3_S4_I15,3,4,600,615,15,43,43,41,0,4.1,1306,0,539,269,1.95,26.28,15
R3_S5_I15,3,5,600,608,15,43,43,42,0,4.2,1440,0,384,304,2.02,29.44,8
R4_S1_I15,4,1,600,613,15,43,43,42,0,4.2,1288,0,1164,288,0.98,24.67,13
R4_S2_I15,4,2,600,615,15,43,43,42,0,4.2,1311,0,1149,293,0.98,24.72,15
R4_S3_I15,4,3,600,615,15,43,43,42,0,4.2,1313,0,1147,281,0.98,24.05,15
R4_S4_I15,4,4,600,609,15,43,43,42,0,4.2,1254,1,1181,281,0.98,23.28,9
R4_S5_I15,4,5,600,611,15,43,43,42,0,4.2,1299,1,1144,294,0.98,25.47,11
R5_S1_I15,5,1,600,610,15,43,43,41,0,4.1,1273,0,1777,272,0.91,22.67,10
R5_S2_I15,5,2,600,615,15,43,43,42,0,4.2,1327,0,1748,289,0.91,23.58,15
R5_S3_I15,5,3,600,614,15,43,43,42,0,4.2,1320,0,1750,293,0.91,22.7,14
R5_S4_I15,5,4,600,608,15,43,43,42,0,4.2,1307,0,1733,293,0.91,23.3,8
R5_S5_I15,5,5,600,610,15,43,43,42,0,4.2,1365,0,1685,288,0.91,24.21,10
R6_S1_I15,6,1,600,612,15,43,43,41,0,4.1,1271,0,2401,273,0.91,22.49,12
R6_S2_I15,6,2,600,613,15,43,43,42,0,4.2,1291,0,2387,290,0.91,23.98,13
R6_S3_I15,6,3,600,609,15,43,43,42,0,4.2,1355,0,2299,308,0.91,22.7,9
R6_S4_I15,6,4,600,608,15,43,43,42,0,4.2,1297,0,2351,297,0.91,23.02,8
R6_S5_I15,6,5,600,611,15,43,43,42,0,4.2,1351,0,2315,295,0.91,23.6,11
R1_S1_I20,1,1,600,887,20,33,33,22,0,2.2,887,0,0,67,164.61,191.48,287
R1_S2_I20,1,2,600,943,20,33,33,21,0,2.1,943,0,0,67,186.42,215.0,343
R1_S3_I20,1,3,600,915,20,33,33,21,0,2.1,915,0,0,67,178.3,206.03,315
R1_S4_I20,1,4,600,915,20,33,33,21,0,2.1,915,0,0,67,171.27,199.0,315
R1_S5_I20,1,5,600,915,20,33,33,21,0,2.1,915,0,0,67,173.7,201.42,315
R2_S1_I20,2,1,600,619,20,33,33,32,0,3.2,1140,0,98,180,5.06,31.36,19
R2_S2_I20,2,2,600,612,20,33,33,32,0,3.2,1103,0,121,169,5.18,31.73,12
R2_S3_I20,2,3,600,600,20,33,33,33,0,3.3,1092,0,108,173,5.42,32.45,0
R2_S4_I20,2,4,600,600,20,33,33,33,0,3.3,1134,0,66,181,4.97,31.97,0
R2_S5_I20,2,5,600,600,20,33,33,33,0,3.3,1144,0,56,180,5.42,32.55,0
R3_S1_I20,3,1,600,610,20,33,33,32,0,3.2,1057,0,773,192,1.82,24.85,10
R3_S2_I20,3,2,600,612,20,33,33,32,0,3.2,1075,0,761,194,1.82,25.91,12
R3_S3_I20,3,3,600,600,20,33,33,33,0,3.3,1115,0,685,198,1.82,25.64,0
R3_S4_I20,3,4,600,600,20,33,33,33,0,3.3,1023,0,777,196,1.82,24.94,0
R3_S5_I20,3,5,600,600,20,33,33,33,0,3.3,1091,0,709,200,1.82,24.64,0
R4_S1_I20,4,1,600,604,20,33,33,32,0,3.2,1051,0,1365,208,0.88,23.15,4
R4_S2_I20,4,2,600,602,20,33,33,32,0,3.2,1119,0,1289,216,0.88,22.39,2
R4_S3_I20,4,3,600,604,20,33,33,32,0,3.2,1087,0,1329,196,0.88,22.97,4
R4_S4_I20,4,4,600,600,20,33,33,33,0,3.3,1053,0,1347,214,0.88,22.58,0
R4_S5_I20,4,5,600,600,20,33,33,33,0,3.3,1074,0,1326,200,0.88,23.61,0
R5_S1_I20,5,1,600,604,20,33,33,32,0,3.2,1088,0,1932,214,0.88,21.91,4
R5_S2_I20,5,2,600,607,20,33,33,32,0,3.2,1064,0,1971,214,0.88,23.06,7
R5_S3_I20,5,3,600,600,20,33,33,33,0,3.3,1117,0,1883,211,0.88,22.79,0
R5_S4_I20,5,4,600,603,20,33,33,32,0,3.2,1076,0,1939,213,0.88,22.06,3
R5_S5_I20,5,5,600,600,20,33,33,33,0,3.3,1079,0,1921,207,0.88,21.97,0
R6_S1_I20,6,1,600,604,20,33,33,32,0,3.2,1096,0,2528,213,0.88,22.09,4
R6_S2_I20,6,2,600,607,20,33,33,32,0,3.2,1060,0,2582,217,0.88,23.18,7
R6_S3_I20,6,3,600,601,20,33,33,32,0,3.2,1116,0,2490,209,0.88,22.79,1
R6_S4_I20,6,4,600,603,20,33,33,32,0,3.2,1074,0,2544,213,0.88,22.06,3
R6_S5_I20,6,5,600,600,20,33,33,33,0,3.3,1087,0,2513,211,0.88,22.24,0
