experiment_id,robots,random_seed,simulation_duration,simulated_time,task_interval,dispatch_strategy,tasks_generated,completed_tasks,completed_by_horizon,waiting_tasks,throughput,distance,wait_steps,idle_steps,plans_created,average_queue_time,average_cycle_time,drain_time,fleet_utilization,completion_rate
R1_S1_I10_Dnearest,1,1,600,1723,10,nearest,63,63,22,0,2.2,1723,0,0,127,558.57,585.92,1123,100.0,34.92
R1_S2_I10_Dnearest,1,2,600,1799,10,nearest,63,63,21,0,2.1,1799,0,0,127,602.38,630.94,1199,100.0,33.33
R1_S3_I10_Dnearest,1,3,600,1771,10,nearest,63,63,21,0,2.1,1771,0,0,127,581.11,609.22,1171,100.0,33.33
R1_S4_I10_Dnearest,1,4,600,1715,10,nearest,63,63,21,0,2.1,1715,0,0,127,567.97,595.19,1115,100.0,33.33
R1_S5_I10_Dnearest,1,5,600,1759,10,nearest,63,63,21,0,2.1,1759,0,0,127,575.84,603.76,1159,100.0,33.33
R2_S1_I10_Dnearest,2,1,600,888,10,nearest,63,63,41,0,4.1,1776,0,0,254,147.98,176.16,288,100.0,65.08
R2_S2_I10_Dnearest,2,2,600,929,10,nearest,63,63,40,0,4.0,1858,0,0,254,162.41,191.63,329,100.0,63.49
R2_S3_I10_Dnearest,2,3,600,916,10,nearest,63,63,41,0,4.1,1830,0,2,254,160.11,188.86,316,100.0,65.08
R2_S4_I10_Dnearest,2,4,600,885,10,nearest,63,63,41,0,4.1,1769,0,1,254,147.35,175.24,285,100.0,65.08
R2_S5_I10_Dnearest,2,5,600,911,10,nearest,63,63,41,0,4.1,1811,0,11,254,157.29,185.84,311,100.0,65.08
R3_S1_I10_Dnearest,3,1,600,617,10,nearest,63,63,60,0,6.0,1842,0,9,396,7.27,35.9,17,98.28,95.24
R3_S2_I10_Dnearest,3,2,600,626,10,nearest,63,63,60,0,6.0,1878,0,0,366,10.63,40.0,26,100.0,95.24
R3_S3_I10_Dnearest,3,3,600,625,10,nearest,63,63,60,0,6.0,1874,0,1,367,15.33,44.57,25,100.0,95.24
R3_S4_I10_Dnearest,3,4,600,620,10,nearest,63,63,61,0,6.1,1818,0,42,423,5.7,33.7,20,96.28,96.83
R3_S5_I10_Dnearest,3,5,600,624,10,nearest,63,63,61,0,6.1,1860,0,12,385,13.78,42.6,24,98.94,96.83
R4_S1_I10_Dnearest,4,1,600,616,10,nearest,63,63,61,0,6.1,1984,3,477,586,1.16,26.38,16,65.5,96.83
R4_S2_I10_Dnearest,4,2,600,616,10,nearest,63,63,61,0,6.1,2058,4,402,638,1.13,27.75,16,68.79,96.83
R4_S3_I10_Dnearest,4,3,600,633,10,nearest,63,63,62,0,6.2,2016,1,515,618,1.16,27.81,33,68.58,98.41
R4_S4_I10_Dnearest,4,4,600,620,10,nearest,63,63,61,0,6.1,1939,1,539,604,1.13,26.59,20,65.67,96.83
R4_S5_I10_Dnearest,4,5,600,617,10,nearest,63,63,60,0,6.0,1983,2,483,640,1.17,28.19,17,69.58,95.24
R5_S1_I10_Dnearest,5,1,600,611,10,nearest,63,63,61,0,6.1,1954,0,1101,595,0.94,24.71,11,49.5,96.83
R5_S2_I10_Dnearest,5,2,600,615,10,nearest,63,63,61,0,6.1,1924,1,1150,564,0.94,25.32,15,50.43,96.83
R5_S3_I10_Dnearest,5,3,600,617,10,nearest,63,63,62,0,6.2,1858,1,1226,534,0.94,24.73,17,49.4,98.41
R5_S4_I10_Dnearest,5,4,600,611,10,nearest,63,63,61,0,6.1,1845,1,1209,538,0.94,24.6,11,49.13,96.83
R5_S5_I10_Dnearest,5,5,600,618,10,nearest,63,63,61,0,6.1,1982,1,1107,601,0.94,25.54,18,50.97,96.83
R6_S1_I10_Dnearest,6,1,600,614,10,nearest,63,63,61,0,6.1,1859,0,1825,553,0.94,24.19,14,40.17,96.83
R6_S2_I10_Dnearest,6,2,600,609,10,nearest,63,63,61,0,6.1,1932,1,1721,575,0.94,25.32,9,42.31,96.83
R6_S3_I10_Dnearest,6,3,600,616,10,nearest,63,63,61,0,6.1,1856,2,1838,532,0.94,25.08,16,41.72,96.83
R6_S4_I10_Dnearest,6,4,600,611,10,nearest,63,63,61,0,6.1,1855,1,1810,519,0.94,23.79,11,39.53,96.83
R6_S5_I10_Dnearest,6,5,600,618,10,nearest,63,63,61,0,6.1,1944,1,1763,579,0.94,25.4,18,42.22,96.83
R1_S1_I15_Dnearest,1,1,600,1167,15,nearest,43,43,22,0,2.2,1167,0,0,87,291.12,318.26,567,100.0,51.16
R1_S2_I15_Dnearest,1,2,600,1227,15,nearest,43,43,21,0,2.1,1227,0,0,87,322.56,351.09,627,100.0,48.84
R1_S3_I15_Dnearest,1,3,600,1195,15,nearest,43,43,21,0,2.1,1195,0,0,87,308.33,336.12,595,100.0,48.84
R1_S4_I15_Dnearest,1,4,600,1187,15,nearest,43,43,21,0,2.1,1187,0,0,87,303.4,331.0,587,100.0,48.84
R1_S5_I15_Dnearest,1,5,600,1191,15,nearest,43,43,21,0,2.1,1191,0,0,87,304.7,332.4,591,100.0,48.84
R2_S1_I15_Dnearest,2,1,600,615,15,nearest,43,43,41,0,4.1,1230,0,0,180,15.98,44.33,15,99.17,95.35
R2_S2_I15_Dnearest,2,2,600,640,15,nearest,43,43,40,0,4.0,1266,0,14,174,24.49,53.67,40,100.0,93.02
R2_S3_I15_Dnearest,2,3,600,628,15,nearest,43,43,41,0,4.1,1254,0,2,174,26.81,55.53,28,100.0,95.35
R2_S4_I15_Dnearest,2,4,600,618,15,nearest,43,43,41,0,4.1,1236,0,0,178,16.0,44.19,18,99.08,95.35
R2_S5_I15_Dnearest,2,5,600,623,15,nearest,43,43,41,0,4.1,1246,0,0,174,23.42,52.14,23,100.0,95.35
R3_S1_I15_Dnearest,3,1,600,605,15,nearest,43,43,41,0,4.1,1327,1,487,279,1.95,27.72,5,61.22,95.35
R3_S2_I15_Dnearest,3,2,600,628,15,nearest,43,43,42,0,4.2,1466,0,418,313,1.95,29.81,28,65.0,97.67
R3_S3_I15_Dnearest,3,3,600,611,15,nearest,43,43,42,0,4.2,1327,1,505,283,1.95,27.28,11,59.89,97.67
R3_S4_I15_Dnearest,3,4,600,615,15,nearest,43,43,41,0,4.1,1306,0,539,269,1.95,26.28,15,57.11,95.35
R3_S5_I15_Dnearest,3,5,600,608,15,nearest,43,43,42,0,4.2,1440,0,384,304,2.02,29.44,8,65.06,97.67
R4_S1_I15_Dnearest,4,1,600,613,15,nearest,43,43,42,0,4.2,1288,0,1164,288,0.98,24.67,13,41.92,97.67
R4_S2_I15_Dnearest,4,2,600,615,15,nearest,43,43,42,0,4.2,1311,0,1149,293,0.98,24.72,15,41.92,97.67
